star_rating	review_body
5.0	From the moment my son could safely have a bankie (blanket) through today, he has chosen the Aden and Anais security blankets! We have replaced them due to wash wear (babies are gross) but the quality is outstanding on all their products. They only get softer with each wash and the silky has never once on all of my son's bankie's ever lost a stitch. We used the swaddling blankets as well and they keep you just the right temperature - the patterns are fun and not overly done! I laid one over my face to test breathability and I could easily breath through multiple layers. They keep a tight swaddle and when our little houdini broke free at two months, we found they make wearable swaddle blankets and those became our nightly PJ's with a simple onesie. Legs can move but baby stays covered and arms are free to party all night in their crib! These are my go to baby shower gift - and everyone I have ever given them to - has called me asking where I got them - usually in a panic because there is a screaming little who can't fathom being without them while they get their bath and backups are needed stat!! Highly highly recommend!
5.0	This is a really cute set, my daughter is going to love playing with this in the tub!
5.0	My 4 month old has reflux and drools buckets and spits up quite a bit since he was 2 months old.  Although I go through 2-3 (sometimes 4) bibs a day (yes, it's that bad), these have been a lifesaver. They are absorbent and large enough to cover most of the front of his onesies. As others have mentioned the velcro tabs don't curl up in the wash like most other bibs do. I love that they are plain solid color bibs so that they coordinate easily with any outfit. I love these so much that I bought a second pack! Tip #1: Make sure to close the velcro tabs before throwing them into the wash so they don't stick to and ruin other clothing. Tip #2: Put the bib on with loopy scratchy part of the velcro tab facing away from baby's neck to prevent scratching.
5.0	Great!!! You can hang everything and adjust them any way you need. For every stroller. I Love them Very much
5.0	This warmer has come in handy several times.  We travel by car quite a bit to see family so we can now warm up a bottle on the road.  Just make sure you allow 20-30 minutes because that's how long it takes the bottle to warm up.
5.0	Perfect!  The height is great and the width between the bars was perfect to keep our dog in his &#34;room&#34; without him feeling closed in.  It was easy to put up and is very sturdy.  Love the way it &#34;self closes&#34; when your hands are full.  Would recommend to anyone.
5.0	We got this for Grandma's house.  Our big 7 month old loves it!  He is comfortable sitting, and enjoys being at table level.  I loved how you can pop the tray into the dishwasher.  Next time we go visit, I'll just pop the whole thing into the dishwasher to get any dust off it and be sure it's clean.  I think we will get one for home too, although we haven't yet.  I'm feeling like I need to use the big highchair we got for now - since we did spend $$ on it.  I wish I'd just skipped the big chair and gotten this.  Oh - and it stores away easily too if you want to tuck it away when company comes or you entertain.  Love this chair.
5.0	High quality - my daughter LOVES it!
5.0	We ordered this for our 9 month old for Christmas, thinking that he would grow into it.  Looks like we don't need to wait, because he LOVES this.  It's his favorite toy currently and I can see the different ways he may play with it as he gets older.<br />Now he just loves the lights and the music works well to distract him when needed.<br />The music is pretty synthetic, but the tunes are Mozart, so it takes a lot longer to get on your nerves than some other music toys. I wish there was a volume controll instead of just off and on, but it wouldn't deter me from buying this again for anyone else with a little baby/toddler.
5.0	so cute and fun my son loved this when he was a baby!
5.0	These have saved my life and sanity. My baby is only five weeks old, but he is very touch needy and wouldn't sleep in his cradle, or alone ever. I only need three of these to get him thru the night, bc i cover it in a wool cover and then put  in a sleep sack, feed him and rock him and he's so cozy he crashes out and stays down for three to four hours at a time... in his cradle, alone. This is huge for us. I was losing my mind sleeping with a baby night after night, and he hates being swaddled, but these keep him so dry and snug he has no complaints. Also when i change him the outside is about three times it's original size and filled with pee, but the two inserts feel almost dry in comparison.i guess this is y he thinks he's dry must of the night. I would say these should be a staple for all new parents, whether they cloth diaper or not.
5.0	Yes, like many I almost choked when I was told how much these receiving blankets cost. So for our third baby, I made a registry for people that asked what we would need for our newest addition and added these thinking no one would actually buy them. But two people did buy us sets and I'm in love. IN LOVE. We live in a drought area where temps soar into the mid 100's. These blankets are cool and breathable. They are soft, they are beautifully made. Worth every penny. I will definitely pay it forward for every pregnant friend I have with a registry.
5.0	I bought this over a month ago and have had a few accidents already on it. It works great. It's also really soft. I'm thinking of getting another one so that it's not always a mad rush to wash and dry it before the baby wants to take a nap.
5.0	My daughter had twin boys.Wouldn't know what to do without these pads.They hold everything no leakage.
5.0	I bought this night light for my almost 2 yr old son. He had been using his fisher price rainforest light up crib toy thing but since we are getting ready to switch him to a toddler bed I decided it was time for a regular night light.<br />The light itself is perfect - Just the right brightness. It can be switched between three solid colors (red, blue, or green) or what we call 'rainbow' where it changes from red, organge, yellow, green, blue, and purple...really pretty. The charge on it lasts a really long time since it switches itself off. SInce the light doesn't get hot I give it to my son to hold in bed with him and have taught him how to turn it back on by pushing the little black button on the bottom. We've had this light for almost a month and I've only had to charge it twice...and that is with a lot of use since he likes to play with it as well.<br />It seems to be pretty durable in my opinion. I haven't had anything break on me and like I said, my son carries it around and plays with it. I keep the charger up out of his reach.<br />I would definitely reccomend this night light over anything else I have seen on the market.
5.0	Extremely cute for a girl or boy in a child's nursery.  Would recommend to a friend or fellow co worker.
5.0	I had the boon grass drying and was looking for something different. This was perfect. Easy to clean and fits my various size bottles(Comotomo and Avent).
